,time,amp,amp_fft
0,0.0,(43.00000000000014-9.734435479913373e-16j),(-18188+0j)
1,2.777,(42.99999999999985+2.47979414780275e-15j),(1096.9373702979851-5480.865581374292j)
2,5.554,(39.00000000000009-8.533618256478804e-15j),(15957.458241187489+6413.0504421466085j)
3,8.331,(38.999999999999986-1.3500311979441903e-16j),(-17841.330116649377-11710.28898383136j)
4,11.108,(39.00000000000013-9.386269539390923e-15j),(-4162.353101728387-9158.773241159157j)
5,13.885000000000002,(39.99999999999992-1.821121031753137e-14j),(8131.92348784693-2849.008139950977j)
6,16.662,(40.999999999999844+4.199307568342192e-15j),(-4708.9274498860095-2700.9524227228826j)
7,19.439,(38.00000000000003-3.202416110070771e-14j),(-11500.742831636353-11168.296715020122j)
8,22.216,(38.000000000000114+4.5943407159972014e-14j),(11719.55217005595-3675.38401148699j)
9,24.993000000000002,(35.999999999999865-9.077029258466856e-15j),(5688.291204095449-2519.748182532747j)
10,27.770000000000003,(34.999999999999964+2.4755006317349736e-14j),(-5677.969279538808+1150.9297287652753j)
11,30.547,(31.99999999999991+6.5314433377855764e-15j),(2936.4755886192265-1332.5672128911601j)
12,33.324,(33.000000000000135-3.650960062134719e-15j),(3776.4893811682477+56.390953747948515j)
13,36.101,(35.000000000000185-1.93580470225063e-14j),(-8282.953149259673-14455.132613663805j)
14,38.878,(34.99999999999996-1.6912372798949817e-14j),(2922.6168713820084+4171.599107296057j)
15,41.655,(30.999999999999968+7.671446009661879e-15j),(9367.954127280273-1137.0089926151563j)
16,44.432,(27.99999999999989-1.9641133299323438e-14j),(3435.7513198082734+6220.8099139299875j)
17,47.209,(28.000000000000142-1.590238358383126e-14j),(-5367.043008703451-8308.192745510805j)
18,49.986000000000004,(34.000000000000014+4.903974605618706e-15j),(9291.808673600099+2128.7555601026065j)
19,52.763000000000005,(36.99999999999976+1.1995679510722492e-14j),(2907.7593039164844+1924.565877136385j)
20,55.540000000000006,(40.99999999999999-1.833644327091503e-15j),(-4543.287316403358+5791.116592397004j)
21,58.317,(36.99999999999978-1.0459504622201127e-14j),(-176.41498238239274+3597.760103986867j)
22,61.094,(30.000000000000114-5.5367868640953765e-15j),(1212.442599041319-1600.4747344068805j)
23,63.871,(37.000000000000014+1.0415943648618166e-15j),(5408.960497191995-2171.1741821554306j)
24,66.648,(38.99999999999996+8.03720054732786e-15j),(-7748.278419671619+4300.601578104649j)
25,69.425,(39.00000000000004-1.3136728149650893e-14j),(1367.9620915009314+1594.8857556245093j)
26,72.202,(36.99999999999994+2.0212941226467697e-14j),(-8847.950273885319+6138.1750730609365j)
27,74.979,(36.00000000000011-1.4498417961693996e-14j),(1731.1227273299228-5234.657044993334j)
28,77.756,(37.00000000000006+4.4752352830231254e-15j),(1176.4149566512538+3428.4703732372845j)
29,80.533,(37.99999999999998+1.3138101941150354e-16j),(-830.3429942369021-3066.4348185367926j)
30,83.31,(41.00000000000007+6.5520930991991805e-15j),(-8042.845645223996-28.075163944996348j)
31,86.087,(41.999999999999886-1.0909845048883772e-14j),(-5712.490777507481-2306.9452782450458j)
32,88.864,(44.00000000000008-1.731487045916444e-14j),(-7.731564422410884-4260.128636583965j)
33,91.641,(39.00000000000008+2.893592884592852e-14j),(4652.365266963881+3294.1843685744807j)
34,94.418,(39.00000000000003-3.0613667175607384e-15j),(-4964.581268525757-5069.993142991936j)
35,97.19500000000001,(38.99999999999984+2.8627839248720136e-14j),(1616.3711960431974-2843.8462114697063j)
36,99.97200000000001,(40.99999999999997-3.339152436648717e-15j),(-8394.53264308744-7932.3191446688525j)
37,102.74900000000001,(43.00000000000013+3.680306496476261e-15j),(6100.023844123607-1385.7465490441007j)
38,105.52600000000001,(42.00000000000015+2.7692075977463678e-14j),(-1552.5537966541347+2252.436629548338j)
39,108.30300000000001,(38.99999999999981+1.421918776342097e-14j),(4761.337662983477-2490.690416396743j)
40,111.08000000000001,(35.99999999999986+2.3474694487600164e-14j),(-129.7902449553419-5072.077602570994j)
41,113.857,(38.99999999999993+4.557125273414638e-14j),(1434.507648298605-6877.7384614335415j)
42,116.634,(42.00000000000007-4.412332811895791e-15j),(4281.71392671213-3224.56548929883j)
43,119.411,(41.000000000000085+6.633826683601648e-15j),(-300.0842101465196+6913.631478465761j)
44,122.188,(43.9999999999999+9.35606287103303e-15j),(2540.24419049708-2579.4485795223636j)
45,124.965,(38.9999999999999-4.332530857896523e-14j),(4215.558941126832+3024.8241697974936j)
46,127.742,(33.999999999999815+4.324982464904767e-15j),(4641.413755238344-8535.020803112875j)
47,130.519,(38.000000000000085+2.7213982601376863e-14j),(4886.850960796108+5487.661609304618j)
48,133.296,(40.000000000000135-2.6922672240606797e-14j),(-4233.506463773622+604.6929328739607j)
49,136.073,(39.000000000000036+1.6908000640467205e-14j),(763.920390231814+4863.339641524404j)
50,138.85,(40-2.85102029881593e-14j),(1727.9038580995527+1202.5628844335706j)
51,141.627,(36-2.8440817658598855e-14j),(4773.739062347926+950.4715809586514j)
52,144.404,(34.00000000000009-2.5361718746788727e-14j),(3300.8383157396847+2324.2862158736343j)
53,147.181,(35.000000000000085-2.1557974237143462e-14j),(-7362.745941344287+1962.615928496446j)
54,149.958,(34.99999999999996-5.9245062159041115e-15j),(-741.7423279202857-36.43117222965793j)
